9000 22
1,09 2,01 4,103.08 5,103.12 6,103.04 7,103.09 8,2.255500059 9,-0.009700262 10,0.077639752 11,103.08 21,103.08 22,103.08
1,09 2,01 3,1 4,103.09 5,103.27 6,103.09 7,103.23 8,7.766000278 9,-0.13561949 10,0.174604714 11,103.18 12,0.097012029 18,3.896512073 19,0.070710678 20,0.070710678 21,103.13 22,103.13
1,09 2,01 3,2 4,103.24 5,103.25 6,103.19 7,103.24 8,8.979500319 10,0.058145169 11,103.22 12,0.038767203 13,0.135816841 17,0.097012029 18,3.583535836 19,0.072111026 20,0.072111026 21,103.16 22,103.16
1,09 2,01 3,3 4,103.24 5,103.27 6,103.16 7,103.16 8,2.905000088 9,0.077549438 10,0.106630477 11,103.215 12,-0.004844022 13,0.033921303 14,0.13096624 17,0.038767203 18,3.214588057 19,0.021794495 20,0.064983972 21,103.17375 22,103.17375
1,09 2,01 3,4 4,103.16 5,103.16 6,103.15 7,103.15 8,1.025000026 9,0.009694619 10,0.009694619 11,103.155 12,-0.058131086 13,-0.062972292 14,-0.024229502 15,0.072759022 17,-0.004844022 18,4.157483779 19,0.036170891 20,0.056899033 21,103.17 22,103.17
1,09 2,01 3,5 4,103.16 5,103.22 6,103.14 7,103.21 8,3.190500101 9,-0.048444918 10,0.077564475 11,103.18 12,0.024235374 13,-0.0339098 14,-0.03875218 16,0.097012029 17,-0.058131086 18,1.176527452 19,0.030138569 20,0.027156951 21,103.19 22,103.1716667
1,02 2,12 3,5 4,56.37 5,56.68 6,56.32 7,56.67 8,0.003334 9,-0.529380625 10,0.639204545 11,56.5 12,0.328509278 13,0.596456868 14,0.266193434 15,0.186186719 16,3.224627752 17,0.267070239 18,0.001367293 19,0.16780445 20,0.122321298 21,56.345 22,55.564
1,02 2,12 3,6 4,56.68 5,56.68 6,56.43 7,56.54 8,0.00393 9,0.24761231 10,0.443026759 11,56.555 12,0.097345133 13,0.426174199 14,0.694382623 15,0.363797693 16,0.283713095 17,0.328509278 18,0.000979433 19,0.125731195 20,0.155185373 21,56.377 22,55.78
1,02 2,12 3,7 4,56.52 5,56.93 6,56.51 7,56.74 8,0.007397 9,-0.387733521 10,0.743231286 11,56.72 12,0.291751392 13,0.389380531 14,0.71916896 15,0.988159886 16,0.65661047 17,0.097345133 18,0.002194055 19,0.11449163 20,0.215563216 21,56.451 22,55.9605
1,02 2,12 3,8 4,56.75 5,57.47 6,56.72 7,57.23 8,0.042516 9,-0.838720951 10,1.322284908 11,57.095 12,0.661142454 13,0.954822739 14,1.053097345 15,1.385066146 16,1.655835485 17,0.291751392 18,0.021347301 19,0.276721882 20,0.294036562 21,56.637 22,56.1605
1,02 2,12 3,9 4,57.24 5,57.47 6,56.99 7,57.23 8,0.018821 9,0.017473353 10,0.842253027 11,57.23 12,0.236448025 13,0.899153738 14,1.193528424 15,1.292035398 16,1.624789133 17,0.661142454 18,0.01791324 19,0.264244205 20,0.326477411 21,56.82 22,56.406
1,02 2,12 3,10 4,57.24 5,57.54 6,56.8 7,57.06 8,0.021283 9,0.315457413 10,1.302816901 11,57.17 12,-0.104840119 13,0.131360014 14,0.793370945 15,1.087437008 16,1.185840708 17,0.236448025 18,0.013027885 19,0.067638746 20,0.298609276 21,56.954 22,56.6495
1,02 2,12 3,11 4,57.07 5,57.23 6,56.8 7,57.05 8,0.013089 9,0.035056968 10,0.757042254 11,57.015 12,-0.271121217 13,-0.375677092 14,-0.140117348 15,0.520098731 16,0.813367518 17,-0.104840119 18,0.004204341 19,0.110942928 20,0.199292499 21,57.046 22,56.7115
1,02 2,12 3,12 4,57.06 5,57.35 6,57.03 7,57.13 8,0.015334 9,-0.122527569 10,0.561108189 11,57.19 12,0.306936771 13,0.034983383 14,-0.069893413 15,0.166389351 16,0.828631876 17,-0.271121217 18,0.004234231 19,0.09578622 20,0.085366855 21,57.14 22,56.7955
1,02 2,12 3,13 4,57.12 5,57.13 6,56.69 7,56.75 8,0.021074 9,0.651982379 10,0.776150997 11,56.91 12,-0.489596083 13,-0.184162063 14,-0.454783978 15,-0.5591473 16,-0.324021368 17,0.306936771 18,0.004118006 19,0.141450816 20,0.135259011 21,57.103 22,56.87
1,02 2,12 3,14 4,56.76 5,58.14 6,56.68 7,57.9 8,0.048969001 9,-1.968911917 10,2.575864502 11,57.41 12,0.878580214 13,0.384682637 14,0.69280014 15,0.419800595 16,0.314520356 17,-0.489596083 18,0.017992554 19,0.250599282 20,0.190276115 21,57.139 22,56.9795
1,02 2,12 3,15 4,57.91 5,58.4 6,57.39 7,57.9 8,0.037242 9,0.017271157 10,1.759888482 11,57.895 12,0.844800557 13,1.730803022 14,1.232732995 15,1.543453477 16,1.26814763 17,0.878580214 18,0.014006295 19,0.492519035 20,0.390598899 21,57.284 22,57.119
1,02 2,12 3,16 4,57.91 5,58.74 6,57.82 7,58.69 8,0.033613 9,-1.329016868 10,1.591144933 11,58.28 12,0.664996977 13,1.515415433 14,2.407309787 15,1.90592761 16,2.218714373 17,0.844800557 18,0.008025988 19,0.435956802 20,0.549972727 21,57.537 22,57.2915
1,02 2,12 3,17 4,58.68 5,58.9 6,58.39 7,58.63 8,0.017735 9,0.085280573 10,0.873437232 11,58.645 12,0.626286891 13,1.295448657 14,2.151193172 15,3.048673344 16,2.544151075 17,0.664996977 18,0.010374677 19,0.375044442 20,0.688064314 21,57.828 22,57.484
1,02 2,12 3,18 4,58.64 5,59.06 6,58.39 7,58.61 8,0.015258 9,0.051185804 10,1.147456756 11,58.725 12,0.136414017 13,0.763555251 14,1.433629847 15,2.290541717 16,3.189246178 17,0.626286891 18,0.009959522 19,0.237223523 20,0.546984918 21,58.191 22,57.647
1,02 2,12 3,19 4,58.6 5,59.64 6,58.51 7,59.55 8,0.019358 9,-1.595298069 10,1.931293796 11,59.075 12,0.595998297 13,0.733225339 14,1.364104324 15,2.038172554 16,2.900191604 17,0.136414017 18,0.00206477 19,0.228691933 20,0.451059863 21,58.524 22,57.8315
1,02 2,12 3,20 4,59.57 5,59.89 6,59.12 7,59.27 8,0.008328 9,0.506158259 10,1.302435724 11,59.505 12,0.727888278 13,1.328224777 14,1.466450678 15,2.101921757 16,2.78089645 17,0.595998297 18,0.00557518 19,0.390683162 20,0.464252087 21,58.846 22,58.065
1,02 2,12 3,21 4,59.26 5,59.37 6,59.07 7,59.2 8,0.001665 9,0.101351351 10,0.507872016 11,59.22 12,-0.478951349 13,0.245450698 14,0.842911877 15,0.980475744 16,1.612903226 17,0.727888278 18,0.008935871 19,0.218765476 20,0.355288615 21,59.034 22,58.2855
1,02 2,12 3,22 4,59.2 5,59.37 6,59.09 7,59.37 8,0.001278 9,-0.286339902 10,0.473853444 11,59.23 12,0.016886187 13,-0.462146038 14,0.262378333 15,0.8599404 16,0.997527496 17,-0.478951349 18,0.003963329 19,0.161735381 20,0.284416068 21,59.151 22,58.4895
1,02 2,13 3,1 4,59.13 5,59.24 6,59.12 7,59.15 8,0.000783 9,-0.033812342 10,0.202976996 11,59.18 12,-0.084416681 13,-0.067544748 14,-0.546172591 15,0.177740161 16,0.774797786 17,0.016886187 18,0.000442101 19,0.026457513 20,0.159318863 21,59.242 22,58.7165
1,02 2,13 3,2 4,59.14 5,59.22 6,59.06 7,59.11 8,0.000891 9,0.050752834 10,0.270910938 11,59.14 12,-0.067590402 13,-0.151950025 14,-0.135089497 15,-0.613393832 16,0.110029623 17,-0.084416681 18,0.000260275 19,0.045092498 20,0.144222051 21,59.255 22,58.8895
1,02 2,13 3,3 4,59.12 5,59.82 6,59.11 7,59.71 8,0.003609 9,-0.988109194 10,1.201150398 11,59.465 12,0.549543456 13,0.481581615 14,0.396758399 15,0.413711584 16,-0.067221242 17,-0.067590402 18,0.001601326 19,0.177223964 20,0.126964562 21,59.247 22,59.0465
1,02 2,13 3,4 4,59.7 5,59.81 6,59.57 7,59.78 8,0.002448 9,-0.133824021 10,0.402887359 11,59.69 12,0.378373833 13,0.929996618 14,0.861777628 15,0.776633463 16,0.793650794 17,0.549543456 18,0.0013638 19,0.276511 20,0.232282156 21,59.341 22,59.1875
1,02 2,13 3,5 4,59.79 5,59.89 6,59.75 7,59.82 8,0.001323 9,-0.050150451 10,0.234309623 11,59.82 12,0.217791925 13,0.596989826 14,1.149814001 15,1.081446435 16,0.996116833 17,0.378373833 18,0.001143047 19,0.17960605 20,0.301380159 21,59.459 22,59.305
1,02 2,13 3,6 4,59.96 5,60.32 6,59.89 7,60.24 8,0.002628 9,-0.464807437 10,0.717982969 11,60.105 12,0.476429288 13,0.695258837 14,1.076263348 15,1.631721339 16,1.56302805 17,0.217791925 18,0.000707231 19,0.212269483 20,0.364578524 21,59.644 22,59.443
1,02 2,13 3,7 4,60.26 5,60.33 6,59.91 7,59.95 8,0.006411 9,0.517097581 10,0.701051577 11,60.12 12,0.024956326 13,0.501504514 14,0.720388675 15,1.10148827 16,1.657084883 17,0.476429288 18,0.002642658 19,0.169041415 20,0.279351929 21,59.84 22,59.5475
1,02 2,13 3,8 4,59.93 5,60.51 6,59.72 7,60.14 8,0.013707 9,-0.349185234 10,1.32283992 11,60.115 12,-0.0083167 13,0.016637551 14,0.493146105 15,0.712012062 16,1.093079963 17,0.024956326 18,0.005631562 19,0.007637626 20,0.201649448 21,59.97 22,59.6085
1,02 2,13 3,9 4,60.12 5,60.27 6,59.66 7,60.09 8,0.009125 9,0.049925112 10,1.02246061 11,59.965 12,-0.24952175 13,-0.257817698 14,-0.232925713 15,0.242393848 16,0.460713687 17,-0.0083167 18,0.00368764 19,0.088081402 20,0.131481938 21,60.025 22,59.683
1,02 2,13 3,10 4,60.08 5,60.44 6,59.91 7,60.15 8,0.006852 9,-0.116375727 10,0.884660324 11,60.175 12,0.350204286 13,0.0998087 14,0.091483699 15,0.116462857 16,0.593447008 17,-0.24952175 18,0.003491711 19,0.108166538 20,0.078134499 21,60.096 22,59.7775
1,02 2,13 3,11 4,60.14 5,60.46 6,60.03 7,60.34 8,0.007995 9,-0.331455088 10,0.716308512 11,60.245 12,0.116327378 13,0.466939048 14,0.216252183 15,0.207917498 16,0.232925713 17,0.350204286 18,0.001136506 19,0.14571662 20,0.103223059 21,60.124 22,59.884
1,02 2,13 3,12 4,60.33 5,61.39 6,60.01 7,61.29 8,0.012752 9,-1.566324033 10,2.299616731 11,60.7 12,0.755249398 13,0.872455339 14,1.225715 15,0.973134825 16,0.964737192 17,0.116327378 18,0.003129044 19,0.285058474 20,0.27708302 21,60.24 22,60.04
1,02 2,13 3,13 4,61.3 5,61.72 6,61.06 7,61.28 8,0.015811 9,0.032637076 10,1.080904029 11,61.39 12,1.136738056 13,1.900572662 14,2.019110926 15,2.376386225 16,2.120934875 17,0.755249398 18,0.00393862 19,0.576505276 20,0.567637649 21,60.495 22,60.2325
1,02 2,13 3,14 4,61.29 5,61.59 6,60.97 7,61.13 8,0.010821 9,0.261737281 10,1.016893554 11,61.28 12,-0.179182277 13,0.955518946 14,1.717984895 15,1.83631076 16,2.192945885 17,1.136738056 18,0.002516159 19,0.37072002 20,0.565316283 21,60.758 22,60.3915
1,02 2,13 3,15 4,61.14 5,61.56 6,61.07 7,61.45 8,0.013022 9,-0.504475183 10,0.80235795 11,61.315 12,0.057114883 13,-0.122169734 14,1.013179572 15,1.776081003 16,1.89447445 17,-0.179182277 18,0.002500767 19,0.056199051 20,0.497184573 21,60.986 22,60.541
1,02 2,13 3,16 4,61.44 5,61.66 6,60.83 7,61.12 8,0.01793 9,0.523560209 10,1.364458326 11,61.245 12,-0.11416456 13,-0.057114883 14,-0.23619482 15,0.89785832 16,1.659888787 17,0.057114883 18,0.003639385 19,0.035 20,0.276934108 21,61.186 22,60.655
1,02 2,13 3,17 4,61.11 5,61.53 6,61.03 7,61.42 8,0.014254 9,-0.504721589 10,0.819269212 11,61.28 12,0.057147522 13,-0.05708228 15,-0.179182277 16,0.955518946 17,-0.11416456 18,0.002553405 19,0.035 20,0.05506814 21,61.302 22,60.771
1,02 2,13 3,18 4,61.4 5,61.61 6,60.74 7,60.85 8,0.039819 9,0.903861956 10,1.432334541 11,61.175 12,-0.171344648 13,-0.114295044 14,-0.22832912 15,-0.171344648 16,-0.350219906 17,0.057147522 18,0.013821544 19,0.053463383 20,0.053080128 21,61.259 22,60.877
1,02 2,13 3,19 4,60.88 5,61.58 6,60.82 7,61.5 8,0.020776 9,-1.008130081 10,1.249588951 11,61.2 12,0.040866367 13,-0.130548303 14,-0.073475386 15,-0.187556063 16,-0.130548303 17,-0.171344648 18,0.013283709 19,0.054848276 20,0.057074513 21,61.243 22,61.0005
1,02 2,13 3,20 4,61.49 5,61.56 6,61.33 7,61.35 8,0.00309 9,0.228198859 10,0.375020382 11,61.445 12,0.400326797 13,0.441356763 14,0.269255875 15,0.32655727 16,0.212019897 17,0.040866367 18,0.018368677 19,0.14919227 20,0.106383739 21,61.269 22,61.1275
1,02 2,13 3,21 4,61.34 5,61.47 6,61.22 7,61.46 8,0.001044 9,-0.195248942 10,0.40836328 11,61.345 12,-0.162747172 13,0.236928105 14,0.277891295 15,0.106070496 16,0.163278635 17,0.400326797 18,0.010849981 19,0.12318685 20,0.110079517 21,61.289 22,61.2375
1,02 2,16 3,1 4,61.64 5,61.67 6,61.5 7,61.52 8,0.000713 9,0.195058518 10,0.276422764 11,61.585 12,0.391229929 13,0.227846041 14,0.629084967 15,0.670208418 16,0.497715405 17,-0.162747172 18,0.001287492 19,0.120554275 20,0.171318417 21,61.35 22,61.326
1,02 2,16 3,2 4,61.53 5,61.55 6,61.12 7,61.25 8,0.003248 9,0.457142857 10,0.703534031 11,61.335 12,-0.405943006 13,-0.016301247 14,-0.179021889 15,0.220588235 16,0.261544749 17,0.391229929 18,0.001378006 19,0.141539158 20,0.143073408 21,61.382 22,61.3205
1,02 2,16 3,3 4,61.26 5,61.43 6,61.23 7,61.32 8,0.001989 9,-0.097847358 10,0.326637269 11,61.33 12,-0.008151952 13,-0.414061866 14,-0.024451871 15,-0.187159248 16,0.212418301 17,-0.405943006 18,0.00126751 19,0.145802378 20,0.109635761 21,61.408 22,61.3255
1,02 2,16 3,4 4,61.31 5,61.45 6,61.28 7,61.43 8,0.000917 9,-0.195344294 10,0.277415144 11,61.365 12,0.057068319 13,0.048911714 14,-0.357229845 15,0.032602494 16,-0.130197738 17,-0.008151952 18,0.00116675 19,0.018929694 20,0.108719823 21,61.392 22,61.3305
1,02 2,16 3,5 4,61.43 5,61.45 6,61.26 7,61.36 8,0.000945 9,0.114080834 10,0.310153444 11,61.355 12,-0.016295934 13,0.040763085 14,0.03260781 15,-0.373467565 16,0.016301247 17,0.057068319 18,0.000610997 19,0.018027756 20,0.107726506 21,61.394 22,61.3415
1,02 2,16 3,6 4,61.34 5,61.59 6,61.31 7,61.55 8,0.001544 9,-0.341186028 10,0.456695482 11,61.45 12,0.154836607 13,0.13851544 14,0.195662808 15,0.187494905 16,-0.219209223 17,-0.016295934 18,0.000354193 19,0.052201533 20,0.048554094 21,61.367 22,61.3585
1,02 2,16 3,7 4,61.54 5,61.54 6,61.06 7,61.17 8,0.002689 9,0.604871669 10,0.786112021 11,61.3 12,-0.244100895 13,-0.089642246 14,-0.105923572 15,-0.048915702 16,-0.057063667 17,0.154836607 18,0.00088613 19,0.075883683 20,0.056236109 21,61.36 22,61.371
1,02 2,16 3,8 4,61.15 5,61.25 6,60.7 7,60.78 8,0.009887 9,0.608752879 10,0.906095552 11,60.975 12,-0.530179445 13,-0.772986168 14,-0.619346427 15,-0.635541432 16,-0.578835806 17,-0.244100895 18,0.004522681 19,0.242813371 20,0.183555169 21,61.289 22,61.3485
1,02 2,16 3,9 4,60.79 5,61.57 6,60.78 7,61.56 8,0.006275 9,-1.250812216 10,1.299769661 11,61.175 12,0.32800328 13,-0.203915171 14,-0.447518308 15,-0.293374623 16,-0.309622749 17,-0.530179445 18,0.003599008 19,0.163935963 20,0.183555169 21,61.251 22,61.3215
1,02 2,16 3,10 4,61.58 5,61.72 6,61.3 7,61.61 8,0.007182 9,-0.048693394 10,0.685154976 11,61.51 12,0.547609318 13,0.877408774 14,0.342577488 15,0.097640358 16,0.252628148 17,0.32800328 18,0.001879105 19,0.27032388 20,0.21577187 21,61.282 22,61.338
1,02 2,16 3,11 4,61.62 5,62.5 6,61.61 7,62.2 8,0.009429 9,-0.932475884 10,1.444570687 11,62.055 12,0.886034791 13,1.438496118 14,1.771217712 15,1.231647635 16,0.984540277 17,0.547609318 18,0.00162375 19,0.444156504 20,0.413016344 21,61.403 22,61.385
1,02 2,16 3,12 4,62.21 5,62.24 6,61.75 7,61.83 8,0.007126 9,0.614588388 10,0.793522267 11,61.995 12,-0.096688422 13,0.788489676 14,1.340416837 15,1.672816728 16,1.133768352 17,0.886034791 18,0.00131377 19,0.298844999 20,0.481035342 21,61.542 22,61.451
1,02 2,16 3,13 4,61.84 5,62.27 6,61.69 7,61.93 8,0.007746 9,-0.145325367 10,0.940184795 11,61.98 12,-0.0241955 13,-0.120860527 14,0.764103398 15,1.315897017 16,1.648216482 17,-0.096688422 18,0.001191686 19,0.03968627 20,0.38533427 21,61.743 22,61.516
1,02 2,16 3,14 4,61.92 5,62.03 6,61.55 7,61.56 8,0.005758 9,0.584795322 10,0.779853777 11,61.79 12,-0.3065505 13,-0.330671828 14,-0.427040529 15,0.455210535 16,1.005312628 17,-0.0241955 18,0.001017183 19,0.114273065 20,0.222412904 21,61.866 22,61.5585
1,02 2,16 3,15 4,61.55 5,61.94 6,61.53 7,61.9 8,0.004221 9,-0.56542811 10,0.666341622 11,61.735 12,-0.089011167 13,-0.395288803 14,-0.41938866 15,-0.515671582 16,0.36579418 17,-0.3065505 18,0.001767302 19,0.128549601 20,0.139794492 21,61.911 22,61.5965
1,02 2,16 3,16 4,61.91 5,61.97 6,61.59 7,61.73 8,0.00621 9,0.291592419 10,0.616983277 11,61.78 12,0.072892201 13,-0.016183849 14,-0.322684737 15,-0.346802161 16,-0.443155265 17,-0.089011167 18,0.001042656 19,0.029297326 20,0.121932358 21,61.856 22,61.6295
1,02 2,16 3,17 4,61.72 5,61.87 6,61.26 7,61.44 8,0.007111 9,0.455729167 10,0.995755795 11,61.565 12,-0.348009064 13,-0.275370535 14,-0.364136592 15,-0.669570829 16,-0.693604323 17,0.072892201 18,0.001478739 19,0.113394591 20,0.148197503 21,61.77 22,61.656
1,02 2,16 3,18 4,61.42 5,61.69 6,61.26 7,61.32 8,0.002579 9,0.16307893 10,0.701926216 11,61.475 12,-0.146186957 13,-0.493687277 14,-0.421154936 15,-0.509791228 16,-0.814778961 17,-0.348009064 18,0.002399131 19,0.156710987 20,0.141217917 21,61.669 22,61.706
1,02 2,16 3,19 4,61.33 5,61.46 6,61.26 7,61.45 8,0.001903 9,-0.195280716 10,0.32647731 11,61.36 12,-0.187067914 13,-0.332981402 14,-0.679831661 15,-0.607435004 16,-0.695905486 17,-0.146186957 18,0.002831939 19,0.102753751 20,0.17580529 21,61.583 22,61.7245
1,02 2,16 3,20 4,61.46 5,61.6 6,61.31 7,61.56 8,0.000682 9,-0.162443145 10,0.473006035 11,61.455 12,0.15482399 13,-0.03253355 14,-0.178672947 15,-0.526060214 16,-0.45355147 17,-0.187067914 18,0.00096146 19,0.061441029 20,0.159083312 21,61.527 22,61.719
1,02 2,16 3,21 4,61.56 5,61.67 6,61.55 7,61.59 8,0.000865 9,-0.048709206 10,0.194963444 11,61.61 12,0.252217069 13,0.407431551 14,0.219601464 15,0.073093478 16,-0.275169958 17,0.15482399 18,0.000658505 19,0.126194295 20,0.097890245 21,61.493 22,61.6745
1,02 2,16 3,22 4,61.59 5,61.59 6,61.59 7,61.59 8,1.2E-05 11,61.59 12,-0.032462263 13,0.219672931 14,0.374837027 15,0.187067914 16,0.040607488 17,0.252217069 18,0.000449073 19,0.084310932 20,0.102992718 21,61.498 22,61.634
1,02 2,17 3,1 4,61.56 5,61.72 6,61.52 7,61.69 8,0.004644 9,-0.210731075 10,0.325097529 11,61.62 12,0.048709206 13,0.016231131 14,0.268489138 15,0.423728814 16,0.235868239 17,-0.032462263 18,0.002465221 19,0.015275252 20,0.114651646 21,61.527 22,61.598
1,02 2,17 3,2 4,61.7 5,61.94 6,61.65 7,61.85 8,0.002203 9,-0.242522231 10,0.470397405 11,61.795 12,0.283998702 13,0.332846241 14,0.300275929 15,0.553250346 16,0.7089309 17,0.048709206 18,0.002317124 19,0.110717358 20,0.121109455 21,61.614 22,61.5985
1,02 2,17 3,3 4,61.84 5,62 6,61.77 7,61.87 8,0.002728 9,-0.048488767 10,0.372349037 11,61.885 12,0.145642851 13,0.430055177 14,0.478973859 15,0.446356111 16,0.699698967 17,0.283998702 18,0.001284858 19,0.13475286 20,0.132145753 21,61.7 22,61.6135
1,02 2,17 3,4 4,61.86 5,62.01 6,61.84 7,62.01 8,0.001848 9,-0.241896468 10,0.274902975 11,61.925 12,0.064636018 13,0.210373008 14,0.494969166 15,0.543919467 16,0.511280636 17,0.145642851 18,0.000442728 19,0.066583281 20,0.152093721 21,61.763 22,61.628
1,02 2,17 3,5 4,62.02 5,62.09 6,61.99 7,62.08 8,0.003707 9,-0.096649485 10,0.161316341 11,62.04 12,0.185708518 13,0.250464571 14,0.396472206 15,0.681596884 16,0.730638091 17,0.064636018 18,0.000929939 19,0.080467385 20,0.157186195 21,61.853 22,61.6755
1,02 2,17 3,6 4,62.09 5,62.11 6,62.01 7,62.07 8,0.001958 9,0.032221685 10,0.161264312 11,62.06 12,0.032237266 13,0.218005652 14,0.282782581 15,0.428837285 16,0.714053879 17,0.185708518 18,0.001042991 19,0.07285831 20,0.110306391 21,61.941 22,61.734
1,02 2,17 3,7 4,62.08 5,62.08 6,61.66 7,61.76 8,0.004213 9,0.518134715 10,0.681154719 11,61.87 12,-0.306155334 13,-0.274016763 14,-0.088817117 15,-0.024238507 16,0.121369043 17,0.032237266 18,0.00118322 19,0.104403065 20,0.088416627 21,61.956 22,61.785
1,02 2,17 3,8 4,61.77 5,62.06 6,61.46 7,61.87 8,0.011644 9,-0.161629223 10,0.976244712 11,61.76 12,-0.177792145 13,-0.483403158 14,-0.451321728 15,-0.266451352 16,-0.201987558 17,-0.306155334 18,0.005068257 19,0.151767366 20,0.124016128 21,61.931 22,61.8155
1,02 2,17 3,9 4,61.88 5,62.26 6,61.72 7,62.26 8,0.008393 9,-0.61034372 10,0.874918989 11,61.99 12,0.372409326 13,0.193955067 14,-0.11279407 15,-0.080593166 16,0.104965684 17,-0.177792145 18,0.003725166 19,0.115036226 20,0.126609636 21,61.944 22,61.8535
1,02 2,17 3,10 4,62.25 5,62.31 6,61.79 7,61.92 8,0.009163 9,0.532945736 10,0.841560123 11,62.05 12,0.096789805 13,0.469559585 14,0.290932601 15,-0.016113439 16,0.016118633 17,0.372409326 18,0.001698885 19,0.1530795 20,0.128569048 21,61.946 22,61.8995
1,02 2,17 3,11 4,61.91 5,62.27 6,61.86 7,62.26 8,0.006251 9,-0.562158689 10,0.662786938 11,62.065 12,0.024174053 13,0.120987256 14,0.49384715 15,0.315176984 16,0.008056719 17,0.096789805 18,0.001508907 19,0.03968627 20,0.129691943 21,61.947 22,61.944
1,02 2,17 3,12 4,62.25 5,62.26 6,61.93 7,62.11 8,0.011474 9,0.225406537 10,0.53285968 11,62.095 12,0.048336421 13,0.07252216 14,0.169382158 15,0.54242228 16,0.363665751 17,0.024174053 18,0.002617257 19,0.022912878 20,0.135212795 21,61.992 22,61.974
1,02 2,17 3,13 4,62.1 5,62.15 6,61.49 7,61.63 8,0.015586 9,0.762615609 10,1.073345259 11,61.82 12,-0.442869796 13,-0.394747442 14,-0.370668815 15,-0.27423778 16,0.097150259 17,0.048336421 18,0.004678506 19,0.150858653 20,0.109738325 21,62.004 22,61.9675
1,02 2,17 3,14 4,61.62 5,61.62 6,60.42 7,60.83 8,0.048304 9,1.298701299 10,1.986097319 11,61.02 12,-1.294079586 13,-1.731218295 14,-1.683718682 15,-1.659951652 16,-1.564768511 17,-0.442869796 18,0.020181778 19,0.558457698 20,0.454986264 21,61.81 22,61.877
1,02 2,17 3,15 4,60.81 5,60.83 6,60.25 7,60.69 8,0.046968 9,0.197726149 10,0.962655602 11,60.54 12,-0.786627335 13,-2.070527337 14,-2.504227394 15,-2.457101426 16,-2.433521354 17,-1.294079586 18,0.01851613 19,0.646632301 20,0.694141556 21,61.508 22,61.727
1,02 2,17 3,16 4,60.68 5,61.21 6,60.46 7,61.06 8,0.042205999 9,-0.622338683 10,1.24048958 11,60.835 12,0.487281136 13,-0.303179285 14,-1.59333549 15,-2.029148885 16,-1.981793281 17,-0.786627335 18,0.00320539 19,0.24209158 20,0.664723627 21,61.262 22,61.6045
1,02 2,17 3,17 4,60.98 5,61.16 6,60.84 7,61.11 8,0.027349999 9,-0.212731141 10,0.525969757 11,61 12,0.271225446 13,0.759828213 14,-0.032776139 15,-1.326431576 16,-1.763427007 17,0.487281136 18,0.010232655 19,0.233041484 20,0.47496842 21,61.043 22,61.5175
1,02 2,17 3,18 4,61.12 5,62.21 6,61.12 7,62.07 8,0.043051001 9,-1.530530047 10,1.783376963 11,61.665 12,1.090163934 13,1.364346182 14,1.85827552 15,1.057030482 16,-0.25072792 17,0.271225446 18,0.008831159 19,0.439384039 20,0.412531817 21,61.012 22,61.508
1,02 2,17 3,19 4,62.06 5,62.97 6,62.03 7,62.36 8,0.040989999 9,-0.481077614 10,1.515395776 11,62.5 12,1.354090651 13,2.459016393 14,2.736911317 15,3.237528907 16,2.425434284 17,1.090163934 18,0.008532475 19,0.751603841 20,0.783697965 21,61.308 22,61.559
1,02 2,17 3,20 4,62.35 5,62.57 6,62.15 7,62.17 8,0.011358 9,0.289528712 10,0.675784393 11,62.36 12,-0.224 13,1.127057488 14,2.229508197 15,2.506780636 16,3.006276842 17,1.354090651 18,0.01773297 19,0.447185644 20,0.760120056 21,61.672 22,61.59
1,02 2,17 3,21 4,62.16 5,62.24 6,62.07 7,62.21 8,0.006246 9,-0.08037293 10,0.273884324 11,62.155 12,-0.328736369 13,-0.552 14,0.794616071 15,1.893442623 16,2.169803567 17,-0.224 18,0.018758702 19,0.17351753 20,0.61142661 21,61.936 22,61.599
1,02 2,17 3,22 4,62.22 5,62.27 6,62.2 7,62.27 8,0.000972 9,-0.080295487 10,0.112540193 11,62.235 12,0.128710482 13,-0.200449006 14,-0.424 15,0.924349307 16,2.024590164 17,-0.328736369 18,0.005193211 19,0.103319892 20,0.317659409 21,62.183 22,61.613
1,02 2,18 3,1 4,62.25 5,62.31 6,62.14 7,62.22 8,0.003402 9,0.048216008 10,0.273575797 11,62.225 12,-0.016068129 13,0.112621672 14,-0.216484926 15,-0.44 16,0.908132652 17,0.128710482 18,0.002639707 19,0.043588989 20,0.136335982 21,62.295 22,61.6535
1,02 2,18 3,2 4,62.22 5,62.41 6,62.16 7,62.4 8,0.001782 9,-0.288461538 10,0.402187902 11,62.285 12,0.096424267 13,0.080340644 14,0.209154533 15,-0.120269403 16,-0.344 17,-0.016068129 18,0.001237295 19,0.032145503 20,0.076124897 21,62.252 22,61.78
1,02 2,18 3,3 4,62.39 5,62.44 6,62.22 7,62.22 8,0.001572 9,0.273224044 10,0.353584057 11,62.33 12,0.072248535 13,0.168742467 14,0.152647224 15,0.281554179 16,-0.048107761 17,0.096424267 18,0.001001449 19,0.052678269 20,0.065992424 21,62.246 22,61.959
1,02 2,18 3,4 4,62.21 5,62.43 6,62.19 7,62.25 8,0.004284 9,-0.064257028 10,0.385914134 11,62.31 12,-0.032087277 13,0.040138075 14,0.136601045 15,0.120510966 16,0.249376559 17,0.072248535 18,0.00150881 19,0.022546249 20,0.045907516 21,62.277 22,62.1065
